model_id,logloss,mean_per_class_error,rmse,mse
GBM_grid__1_AutoML_20200514_172456_model_70,0.053822598192653774,0.016835016835016838,0.1205625058882399,0.01453531782605188
GBM_grid__1_AutoML_20200514_172456_model_68,0.0546613631619333,0.017316017316017316,0.12262940597199055,0.015037971209043275
GBM_grid__1_AutoML_20200514_172456_model_65,0.0549612373135291,0.018278018278018282,0.12405518022242115,0.015389687740017387
GBM_grid__1_AutoML_20200514_172456_model_43,0.0553001269687012,0.01924001924001924,0.12355526173228308,0.015265902701732972
XGBoost_grid__1_AutoML_20200514_172456_model_158,0.055325635245227635,0.018278018278018282,0.1235826116927894,0.01527266191281077
GBM_grid__1_AutoML_20200514_172456_model_17,0.055620223415037084,0.016835016835016838,0.12379611742827867,0.015325478690316162
GBM_grid__1_AutoML_20200514_172456_model_76,0.05670261894179235,0.018278018278018282,0.12669316918135667,0.016051159117215868
XGBoost_grid__1_AutoML_20200514_172456_model_31,0.05701511622475423,0.01972101972101972,0.12736225006445814,0.016221142741481568
GBM_grid__1_AutoML_20200514_172456_model_16,0.05759748256859611,0.01972101972101972,0.12580605601200945,0.01582716372929686
GBM_grid__1_AutoML_20200514_172456_model_6,0.05777570476551189,0.01924001924001924,0.1255486092832698,0.01576245329296314
XGBoost_grid__1_AutoML_20200514_172456_model_171,0.05787979582167151,0.017316017316017316,0.12670686581940813,0.016054629845777494
XGBoost_grid__1_AutoML_20200514_172456_model_155,0.05813870825391305,0.01924001924001924,0.12798026540837598,0.01637894833399836
GBM_grid__1_AutoML_20200514_172456_model_7,0.0586757533559527,0.01972101972101972,0.1269964230054959,0.016128091456190857
XGBoost_grid__1_AutoML_20200514_172456_model_189,0.05872094024781119,0.01924001924001924,0.12704404272722827,0.016140188792477802
XGBoost_grid__1_AutoML_20200514_172456_model_39,0.058807130025874864,0.017797017797017797,0.12831617476400556,0.016465040706066816
XGBoost_grid__1_AutoML_20200514_172456_model_104,0.05917028907241985,0.02068302068302068,0.12803540673141905,0.01639306537687991
