model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200514_172153_model_328,0.9997218652664956,0.02442807285583827,0.9997404001125454,0.006759061668381992,0.07512394512588103,0.005643607131276383
GBM_grid__1_AutoML_20200514_172153_model_246,0.9997218652664956,0.020352962708710915,0.9997384416534806,0.005938225015844957,0.0736663924629591,0.005426737378506717
GBM_grid__1_AutoML_20200514_172153_model_297,0.9997211384335684,0.022396582988343385,0.9997412454807948,0.006874870381461303,0.07655522179549305,0.0058607019841571345
XGBoost_grid__1_AutoML_20200514_172153_model_396,0.9997211384335684,0.025329986542709543,0.9997398574136268,0.0066660270536906645,0.07629455981019276,0.00582085985663108
GBM_grid__1_AutoML_20200514_172153_model_320,0.9997206538782836,0.022750717215370184,0.999738285264408,0.005032591188459056,0.0724672700017852,0.005251505221511636
GBM_grid__1_AutoML_20200514_172153_model_6,0.9997199270453564,0.020951811651942254,0.9997388285415328,0.006635015515460221,0.07508645228008605,0.005637975316009639
GBM_grid__1_AutoML_20200514_172153_model_192,0.9997199270453564,0.019522712358610618,0.9997319835537524,0.005063602726689499,0.06604704160628955,0.004362211704942942
GBM_grid__1_AutoML_20200514_172153_model_168,0.9997199270453564,0.019010094744321058,0.9997348210109288,0.005605335535152548,0.07037858144370962,0.004953144726028869
GBM_grid__1_AutoML_20200514_172153_model_409,0.9997196847677141,0.0151435940747692,0.9997239172539034,0.003847853516999168,0.059074952647019674,0.003489850030247618
GBM_grid__1_AutoML_20200514_172153_model_166,0.9997189579347868,0.023992647458993446,0.9997373789767756,0.006364149111228696,0.07504196399542003,0.005631296360289916
XGBoost_grid__1_AutoML_20200514_172153_model_30,0.9997187156571442,0.028243743565832573,0.9997385359551814,0.00794379933984188,0.07966791507490077,0.006346976692381601
GBM_grid__1_AutoML_20200514_172153_model_143,0.9997184733795016,0.02133840253140463,0.9997365386192574,0.005969236554075401,0.07255698773921923,0.0052645164697892105
XGBoost_grid__1_AutoML_20200514_172153_model_135,0.9997184733795016,0.011277181708468396,0.9997182350303606,0.002516295594229528,0.047936400085529365,0.0022978984531599397
XGBoost_grid__1_AutoML_20200514_172153_model_235,0.9997179888242168,0.02302051652319305,0.9997355185291156,0.006333137572998254,0.07410315098677851,0.005491276986169293
GBM_grid__1_AutoML_20200514_172153_model_298,0.9997177465465744,0.022891993553842537,0.9997352548061098,0.006759061668381992,0.07569873653887567,0.00573029871358211
GBM_grid__1_AutoML_20200514_172153_model_131,0.999717504268932,0.02028324065784405,0.9997347840655458,0.0059072134776145145,0.07225122935928158,0.0052202401439275115
XGBoost_grid__1_AutoML_20200514_172153_model_315,0.9997172619912896,0.02386535037409261,0.9997366806128244,0.006883107821303763,0.07433283448307668,0.005525370282288472
GBM_grid__1_AutoML_20200514_172153_model_146,0.9997172619912896,0.01587800008946945,0.9997183280175173,0.003909876593460054,0.06201658656138271,0.0038460570087254734
XGBoost_grid__1_AutoML_20200514_172153_model_68,0.9997170197136472,0.025970368075160368,0.9997370003414472,0.007424840629766813,0.07729682765838945,0.005974799566050761
XGBoost_grid__1_AutoML_20200514_172153_model_400,0.9997165351583625,0.022727196961201818,0.9997352012674864,0.006759061668381992,0.07416969561617945,0.005501143747796708
GBM_grid__1_AutoML_20200514_172153_model_217,0.9997160506030776,0.01929197703171812,0.9997313145286988,0.00606227116876673,0.07077844963572871,0.005009588932837385
