model_id,rmse,mean_residual_deviance,mse,mae,rmsle
StackedEnsemble_BestOfFamily_AutoML_20200516_081900,44748.40661520795,2002419894.599987,2002419894.599987,29202.80184836636,0.22058385247067155
GBM_grid__1_AutoML_20200516_081900_model_292,45454.65779220254,2066125915.0062387,2066125915.0062387,29869.826683645897,0.22517864337934526
GBM_grid__1_AutoML_20200516_081900_model_54,45464.293004768464,2067001938.4234388,2067001938.4234388,29991.964841694244,0.2254869739403456
GBM_grid__1_AutoML_20200516_081900_model_816,45533.4312849835,2073293364.584314,2073293364.584314,30256.095873418617,0.22657518672182803
GBM_grid__1_AutoML_20200516_081900_model_253,45551.645672282946,2074952423.4532144,2074952423.4532144,30004.16173492666,0.2249914482290522
GBM_grid__1_AutoML_20200516_081900_model_627,45727.28529410072,2090984620.3680801,2090984620.3680801,30200.07376140351,0.2282507842987639
GBM_4_AutoML_20200516_081900,45766.21787220943,2094546698.3265426,2094546698.3265426,30092.588528709828,0.22540172314098414
GBM_grid__1_AutoML_20200516_081900_model_443,45769.79391263797,2094874034.805352,2094874034.805352,30356.019805122418,0.22852088575760865
GBM_grid__1_AutoML_20200516_081900_model_528,45774.239336666535,2095280986.85043,2095280986.85043,30375.91296634544,
GBM_grid__1_AutoML_20200516_081900_model_271,45793.58336904972,2097052277.7781067,2097052277.7781067,30341.314265237736,0.2286903289232401
GBM_grid__1_AutoML_20200516_081900_model_447,45850.775072521836,2102293574.7509887,2102293574.7509887,30345.493202182883,0.226942934816945
StackedEnsemble_AllModels_AutoML_20200516_081900,45995.02381274794,2115542215.5352511,2115542215.5352511,31100.924056328415,0.2347492588762272
GBM_grid__1_AutoML_20200516_081900_model_449,46005.82114125001,2116535578.8806863,2116535578.8806863,30471.808078573365,0.22874892136079344
GBM_grid__1_AutoML_20200516_081900_model_815,46114.03742630528,2126504447.754684,2126504447.754684,30621.86586013541,0.2286653445979748
GBM_grid__1_AutoML_20200516_081900_model_139,46135.246298924314,2128460951.06241,2128460951.06241,30708.339658359826,0.2308923942641887
GBM_grid__1_AutoML_20200516_081900_model_467,46159.57170104857,2130706059.624243,2130706059.624243,30647.034538160147,0.22839316801836426
GBM_grid__1_AutoML_20200516_081900_model_355,46171.86221317322,2131840860.2322528,2131840860.2322528,30405.045251849482,0.2274405898258368
GBM_grid__1_AutoML_20200516_081900_model_34,46176.09638726449,2132231877.565941,2132231877.565941,30589.83413820933,0.23010264776084216
GBM_grid__1_AutoML_20200516_081900_model_29,46215.91183640218,2135910506.8700984,2135910506.8700984,30708.614653324195,0.22995239722269306
GBM_grid__1_AutoML_20200516_081900_model_249,46216.4187049816,2135957357.9141734,2135957357.9141734,30457.694718484152,0.22839771877378745
GBM_grid__1_AutoML_20200516_081900_model_155,46225.51962049745,2136798664.1849954,2136798664.1849954,30665.436126268058,0.22985224713772204
GBM_grid__1_AutoML_20200516_081900_model_495,46228.05020787284,2137032626.0216122,2137032626.0216122,30543.961331851828,0.2298132078342572
GBM_grid__1_AutoML_20200516_081900_model_369,46234.09603216871,2137591635.9117985,2137591635.9117985,30676.10541205185,0.23070536426222865
GBM_grid__1_AutoML_20200516_081900_model_507,46313.914470249525,2144978673.5575871,2144978673.5575871,30480.25863603695,0.2282715145106364
GBM_grid__1_AutoML_20200516_081900_model_629,46332.1392063799,2146667123.4393656,2146667123.4393656,30786.70387816008,0.2302106685620672
GBM_grid__1_AutoML_20200516_081900_model_375,46363.648605332244,2149587911.9987273,2149587911.9987273,30857.34846668515,0.23023904951574786
GBM_grid__1_AutoML_20200516_081900_model_444,46368.972124997636,2150081575.9288077,2150081575.9288077,30629.933171359662,0.22994216992395555
GBM_grid__1_AutoML_20200516_081900_model_714,46382.3558398862,2151322933.2578254,2151322933.2578254,30742.70051849457,0.2287255095907078
GBM_grid__1_AutoML_20200516_081900_model_696,46382.600267727874,2151345607.5958295,2151345607.5958295,30607.538307719267,0.22985063225304744
