id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss,models_ensemble_count,predict_duration
openml.org/t/53,vehicle,AutoGluon,7,0.35847,aws.docker,0.0.9,,stable,2020-05-14T01:19:09,12.9,11,1,,0.821429,,0.35847,3,0.0340569
openml.org/t/53,vehicle,AutoGluon,8,0.387698,aws.docker,0.0.9,,stable,2020-05-14T01:19:12,12.0,11,1,,0.833333,,0.387698,2,0.0231316
openml.org/t/53,vehicle,AutoGluon,9,0.431222,aws.docker,0.0.9,,stable,2020-05-14T01:19:15,12.2,11,1,,0.821429,,0.431222,3,0.0365608
openml.org/t/168909,dilbert,AutoGluon,0,0.0333815,aws.docker,0.0.9,,stable,2020-05-14T01:56:04,3620.2,11,1,,0.989,,0.0333815,4,2.66669
openml.org/t/168909,dilbert,AutoGluon,1,0.0215215,aws.docker,0.0.9,,stable,2020-05-14T01:56:15,3618.3,11,1,,0.992,,0.0215215,2,0.921022
openml.org/t/168909,dilbert,AutoGluon,2,0.0369366,aws.docker,0.0.9,,stable,2020-05-14T01:56:28,3619.3,11,1,,0.984,,0.0369366,2,0.919468
openml.org/t/168909,dilbert,AutoGluon,4,0.0416297,aws.docker,0.0.9,,stable,2020-05-14T01:57:05,3620.1,11,1,,0.988,,0.0416297,2,0.931696
openml.org/t/168909,dilbert,AutoGluon,5,0.0211929,aws.docker,0.0.9,,stable,2020-05-14T01:57:09,3620.3,11,1,,0.994,,0.0211929,2,0.900466
openml.org/t/168909,dilbert,AutoGluon,3,0.0102649,aws.docker,0.0.9,,stable,2020-05-14T01:57:15,3618.6,11,1,,0.996,,0.0102649,3,2.11714
openml.org/t/168909,dilbert,AutoGluon,6,0.0184216,aws.docker,0.0.9,,stable,2020-05-14T01:57:26,3618.3,11,1,,0.995,,0.0184216,3,2.15491
openml.org/t/168909,dilbert,AutoGluon,8,0.0215263,aws.docker,0.0.9,,stable,2020-05-14T01:58:08,3618.9,11,1,,0.993,,0.0215263,3,2.14836
openml.org/t/168909,dilbert,AutoGluon,9,0.0147173,aws.docker,0.0.9,,stable,2020-05-14T01:58:15,3618.6,11,1,,0.996,,0.0147173,3,2.16896
openml.org/t/168909,dilbert,AutoGluon,7,0.0373295,aws.docker,0.0.9,,stable,2020-05-14T01:58:10,3618.9,11,1,,0.99,,0.0373295,3,2.17261
