"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse","training_time_ms","predict_time_per_row_ms"
"StackedEnsemble_AllModels_AutoML_20200520_125318",0.669749829087905,0.631442223668575,0.565734167859339,0.401625022803197,0.469787127081613,0.220699944771596,2175,0.028837
"StackedEnsemble_BestOfFamily_AutoML_20200520_125318",0.667377798874532,0.632694074974498,0.562670880717185,0.397059099275421,0.470395131682303,0.221271579910412,1592,0.010672
"XGBoost_grid__1_AutoML_20200520_125318_model_5",0.664559321477859,0.634032940658111,0.559375550573433,0.411684238722351,0.471063028935489,0.221900377229878,7676,6.78E-4
"XGBoost_3_AutoML_20200520_125318",0.660047338231793,0.636464641238433,0.555206573332455,0.408108277182309,0.472204614754736,0.222977198195669,2667,5.49E-4
"XGBoost_grid__1_AutoML_20200520_125318_model_11",0.659524752712904,0.636711768004638,0.553147737043176,0.411680919352305,0.472355767689394,0.223119971269437,3314,5.18E-4
"XGBoost_grid__1_AutoML_20200520_125318_model_6",0.659275457155563,0.63677142189759,0.552784713199339,0.410355237696584,0.472395172101663,0.22315719862496,2804,5.79E-4
"XGBoost_grid__1_AutoML_20200520_125318_model_10",0.659155367548449,0.636814769804858,0.552865348148647,0.412046581372287,0.472422107882407,0.223182648016057,2435,5.33E-4
"XGBoost_grid__1_AutoML_20200520_125318_model_7",0.658361937734073,0.637448532047021,0.551107763067849,0.417169896521146,0.472685245444457,0.223431341260886,2469,4.98E-4
"GBM_grid__1_AutoML_20200520_125318_model_11",0.658043066471726,0.637794491981202,0.549904528401662,0.412388566491219,0.472825683710655,0.223564127176448,1115,7.97E-4
"XGBoost_grid__1_AutoML_20200520_125318_model_1",0.657955235060997,0.63742462354566,0.552040538595678,0.407103647834466,0.472683891525592,0.223430061307777,2461,5.09E-4
"XGBoost_grid__1_AutoML_20200520_125318_model_2",0.657737321092694,0.637541806288364,0.551958312455866,0.406085128397472,0.472756928337697,0.223499113291295,2069,5.13E-4
"XGBoost_grid__1_AutoML_20200520_125318_model_9",0.656176952965158,0.640208004200694,0.551234891409519,0.416196187957629,0.473833154774613,0.224517858563663,9001,4.65E-4
"GBM_grid__1_AutoML_20200520_125318_model_20",0.656015983219282,0.638651939223812,0.548968130644464,0.420471383113983,0.47322248305036,0.223939518464348,2788,8.52E-4
"GBM_grid__1_AutoML_20200520_125318_model_32",0.654720523260268,0.639602062210518,0.545210182813236,0.418392675631602,0.473651223468756,0.224345481493449,1030,7.29E-4
"XGBoost_grid__1_AutoML_20200520_125318_model_8",0.654445826620786,0.640673916297971,0.550583216653458,0.425442692848444,0.474098692002525,0.224769569758505,6804,4.68E-4
"GBM_grid__1_AutoML_20200520_125318_model_10",0.654054983966642,0.639810964104576,0.546661809466787,0.418749725456202,0.473719214375218,0.224409894068274,988,8.12E-4
"GBM_grid__1_AutoML_20200520_125318_model_30",0.652871378648781,0.64045813700492,0.542942263670205,0.421767528058581,0.474120599840614,0.224790343193224,756,7.75E-4
"XGBoost_grid__1_AutoML_20200520_125318_model_4",0.652244131355832,0.641888471812527,0.54417446416298,0.415396205674429,0.474598851632268,0.225244069970668,3457,4.68E-4
"XGBoost_1_AutoML_20200520_125318",0.651863169458021,0.641658864939637,0.544083555541427,0.419138470847489,0.474612801317962,0.225257311174883,3981,5.74E-4
"GBM_grid__1_AutoML_20200520_125318_model_7",0.65169200248957,0.640676387443376,0.543376080072319,0.419657317875572,0.474218618067807,0.224883297722141,715,0.001304
"GBM_grid__1_AutoML_20200520_125318_model_14",0.651007063151603,0.641117287455456,0.542464270072169,0.412772819555008,0.474411417812456,0.225066193350825,800,8.09E-4
"GBM_grid__1_AutoML_20200520_125318_model_31",0.650957017519991,0.642387481175332,0.540862382606033,0.421053826584472,0.474772290562929,0.22540872788637,1457,7.06E-4
"GBM_grid__1_AutoML_20200520_125318_model_9",0.650879714314881,0.642105382553889,0.541211216840761,0.425581801537587,0.474700535699263,0.225340598593167,1212,7.43E-4
"GBM_1_AutoML_20200520_125318",0.650587291832881,0.642190839811999,0.540574902165915,0.421270796753382,0.474740667879764,0.225378701738925,1641,6.74E-4
"GBM_grid__1_AutoML_20200520_125318_model_18",0.650506035080941,0.641455868725955,0.541097134157425,0.4140272875959,0.474548613658624,0.225196386725322,1552,6.88E-4
"GBM_2_AutoML_20200520_125318",0.650418305495196,0.64283810974699,0.538941401977122,0.416152175093395,0.474970908527434,0.225597363947376,1352,6.63E-4
"GBM_grid__1_AutoML_20200520_125318_model_2",0.650352902748085,0.642489493589869,0.539692323806116,0.41984298816429,0.474882363514379,0.225513259177002,1441,6.08E-4
"XGBoost_grid__1_AutoML_20200520_125318_model_3",0.650080649493451,0.643471437358882,0.542186143643564,0.425703104749193,0.475397916323868,0.226003178845075,3893,4.02E-4
"GBM_grid__1_AutoML_20200520_125318_model_8",0.650062263758675,0.641409694153622,0.541562712705988,0.421967089265982,0.474575658472511,0.225222055614617,629,7.13E-4
"GBM_grid__1_AutoML_20200520_125318_model_28",0.649966861421901,0.643631698319705,0.538810878597519,0.417334448598533,0.475289450392268,0.225900061654185,2500,6.44E-4
"GBM_grid__1_AutoML_20200520_125318_model_12",0.649775967573722,0.643066761463588,0.541802389457384,0.41649768240281,0.475088417242428,0.225709004197916,1585,6.63E-4
