"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse","training_time_ms","predict_time_per_row_ms"
"StackedEnsemble_AllModels_AutoML_20200520_122929",0.705650050274333,0.609829687478353,0.611091124101726,0.374704012606648,0.45943426781746,0.211079846444966,122978,0.007425
"StackedEnsemble_BestOfFamily_AutoML_20200520_122929",0.705370438661085,0.610031024944645,0.610594092326098,0.372173560967975,0.459533646533948,0.211171172296787,25095,0.004206
"GBM_grid__1_AutoML_20200520_122929_model_4",0.702608048788248,0.618220038643516,0.606164415895625,0.374108086346943,0.463184923422686,0.214540273286079,112814,7.13E-4
"DRF_1_AutoML_20200520_122929",0.701431454255329,0.612858719377559,0.604784710730476,0.374157588220697,0.460904877988475,0.212433306553571,116509,5.47E-4
"GBM_5_AutoML_20200520_122929",0.701411788553545,0.618787548117704,0.606277699756083,0.371520711016745,0.463464818657945,0.214799638133642,102047,6.47E-4
"GBM_grid__1_AutoML_20200520_122929_model_3",0.692297183516299,0.618764781995733,0.59364446145024,0.375657803290825,0.463750141418706,0.21506419366587,222963,8.8E-4
"GBM_4_AutoML_20200520_122929",0.688333366257436,0.62248286336986,0.588812135576275,0.382756734658398,0.465469964435056,0.216662287791172,102150,7.29E-4
"GBM_grid__1_AutoML_20200520_122929_model_2",0.688014705903457,0.621510098411114,0.588002587108148,0.386843138828767,0.465069145501971,0.216289310097933,153665,8.55E-4
"GBM_3_AutoML_20200520_122929",0.684213896134445,0.624293669389477,0.583526446564583,0.387312691780721,0.466373582290802,0.217504318258756,100567,7.09E-4
"GBM_2_AutoML_20200520_122929",0.681836506525838,0.625457763116813,0.580920750337415,0.388770238242308,0.466942882564231,0.218035655577393,101090,6.61E-4
"GBM_1_AutoML_20200520_122929",0.677250612236092,0.628095575613638,0.575117194803608,0.394942017668751,0.468209701400307,0.219220324485365,102576,7.63E-4
"XRT_1_AutoML_20200520_122929",0.669475245264698,0.634878486774969,0.566026890423,0.403021721889562,0.471508359895306,0.222320133451161,101701,7.51E-4
"XGBoost_2_AutoML_20200520_122929",0.66933655611108,0.662196598876769,0.574675473599723,0.410606636738267,0.484397454385754,0.234640893815398,111906,0.001156
"XGBoost_grid__1_AutoML_20200520_122929_model_1",0.668891943229171,0.632465512337083,0.565806020504404,0.409219119320617,0.470284762991712,0.22116775830217,1003615,0.001106
"GBM_grid__1_AutoML_20200520_122929_model_1",0.664895471465279,0.63469850769654,0.559569021392172,0.410489049412734,0.471390108370642,0.222208634269685,99113,8.98E-4
"DeepLearning_1_AutoML_20200520_122929",0.659509717040838,0.637490726035389,0.550749854064003,0.413667871947641,0.472805690620835,0.223545221083445,98646,7.55E-4
"DeepLearning_grid__3_AutoML_20200520_122929_model_1",0.658675186432338,0.640391201448056,0.550264181648094,0.41244783692718,0.474060061854255,0.22473294224526,190876,0.001046
"DeepLearning_grid__2_AutoML_20200520_122929_model_1",0.657944653765366,0.64239455381571,0.548567899123093,0.414042333222344,0.475093722169879,0.22571404484523,191382,0.001074
"DeepLearning_grid__1_AutoML_20200520_122929_model_1",0.648169935399626,0.641904774099355,0.535139948708619,0.416236491572041,0.475024517352085,0.225648292085581,191528,9.61E-4
"XGBoost_1_AutoML_20200520_122929",0.64781324849503,0.657790060281813,0.543432925327466,0.428038498291873,0.482290107106872,0.232603747413158,123150,3.72E-4
"GLM_1_AutoML_20200520_122929",0.638212325882865,0.646672045953629,0.525118664937698,0.427801780712333,0.477196200435428,0.227716213710009,54076,4.88E-4
"XGBoost_3_AutoML_20200520_122929",0.630525982358876,0.657633291455388,0.522788696761341,0.441205721306195,0.482315798404587,0.232628529390654,111617,3.71E-4
