"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse","training_time_ms","predict_time_per_row_ms"
"GBM_1_AutoML_20200520_161033",0.597401524128968,0.686023260009879,0.479528119113632,0.464852613640618,0.49317208532345,0.24321870574228,885,5.75E-4
"GBM_4_AutoML_20200520_161033",0.597187868145533,0.705783548541861,0.482954196368057,0.47956344866221,0.499667450772828,0.249667561361817,1136,6.49E-4
"DeepLearning_grid__1_AutoML_20200520_161033_model_8",0.596854070916653,0.663249979940289,0.484903001327706,0.463426367888754,0.485124321728436,0.235345607532475,25765,0.002272
"GBM_grid__1_AutoML_20200520_161033_model_14",0.595655420387113,0.675055856395434,0.479435151460658,0.469060915381869,0.489385601125585,0.23949826658905,569,5.87E-4
"DeepLearning_grid__2_AutoML_20200520_161033_model_5",0.595577218384691,0.690248013479046,0.492792885112131,0.491200143453858,0.496127171747311,0.246142170545985,36326,0.009248
"GBM_grid__1_AutoML_20200520_161033_model_1",0.593922327638469,0.67102260656321,0.481227291177287,0.474960154328418,0.488193189342162,0.238332590120072,346,7.53E-4
"GBM_grid__1_AutoML_20200520_161033_model_8",0.593847425512104,0.67901927502834,0.47886888920654,0.474828289522551,0.491068871014626,0.24114863607958,427,7.5E-4
"DeepLearning_grid__3_AutoML_20200520_161033_model_7",0.593660710843307,0.955668276850485,0.47969119630266,0.476143405436355,0.551684781480664,0.304356098117368,33078,0.01373
"DeepLearning_grid__1_AutoML_20200520_161033_model_5",0.59159649050533,0.716304748398446,0.478879182183121,0.47177859019211,0.503839530321626,0.253854272314717,26680,0.005218
"GBM_grid__1_AutoML_20200520_161033_model_15",0.59056219711329,0.70864078556899,0.478903438965911,0.477960538844443,0.500962894316522,0.250963821481986,3088,8.5E-4
"GBM_grid__1_AutoML_20200520_161033_model_3",0.589488045979985,0.693860598553926,0.47550215167811,0.48025661881848,0.496399229583346,0.24641219513094,728,6.92E-4
"GBM_grid__1_AutoML_20200520_161033_model_4",0.587744559202432,0.713623134454556,0.474139955595019,0.480648689386534,0.502725031987587,0.25273245778692,986,6.83E-4
"DeepLearning_grid__2_AutoML_20200520_161033_model_2",0.586349581601183,0.69980025528556,0.479136436841067,0.482762030221187,0.497885100745187,0.247889573544045,26799,0.002883
"DeepLearning_grid__1_AutoML_20200520_161033_model_2",0.577722649385841,0.778539250948157,0.461200316651134,0.477240576067045,0.525713558119572,0.276374745190741,26003,0.002266
"DeepLearning_grid__2_AutoML_20200520_161033_model_7",0.549105529025951,0.724600460123367,0.4506481251999,0.5,0.504298578687634,0.254317056466368,33600,0.009193
"DeepLearning_grid__3_AutoML_20200520_161033_model_3",0.5,0.675855204069836,0.40566,0.5,0.491318426822572,0.241393796535407,48203,0.012577
