id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss,models_ensemble_count,predict_duration
openml.org/t/146818,Australian,AutoGluon,0,0.945671,aws.docker,0.0.9,,stable,2020-05-14T00:39:03,9.6,11,1,,0.884058,0.945671,,5,0.389571
openml.org/t/146818,Australian,AutoGluon,1,0.914261,aws.docker,0.0.9,,stable,2020-05-14T00:39:07,9.4,11,1,,0.869565,0.914261,,4,0.171269
openml.org/t/146818,Australian,AutoGluon,2,0.921902,aws.docker,0.0.9,,stable,2020-05-14T00:39:29,9.8,11,1,,0.855072,0.921902,,6,0.306991
openml.org/t/146818,Australian,AutoGluon,3,0.931239,aws.docker,0.0.9,,stable,2020-05-14T00:39:37,10.0,11,1,,0.811594,0.931239,,5,0.188673
openml.org/t/146818,Australian,AutoGluon,5,0.97708,aws.docker,0.0.9,,stable,2020-05-14T00:40:13,10.1,11,1,,0.927536,0.97708,,7,0.412749
openml.org/t/146818,Australian,AutoGluon,6,0.919355,aws.docker,0.0.9,,stable,2020-05-14T00:40:24,9.7,11,1,,0.884058,0.919355,,3,0.0558784
openml.org/t/146818,Australian,AutoGluon,4,0.960951,aws.docker,0.0.9,,stable,2020-05-14T00:40:16,10.1,11,1,,0.898551,0.960951,,6,0.304512
openml.org/t/146818,Australian,AutoGluon,7,0.941026,aws.docker,0.0.9,,stable,2020-05-14T00:40:42,9.7,11,1,,0.884058,0.941026,,4,0.176565
openml.org/t/146818,Australian,AutoGluon,8,0.950427,aws.docker,0.0.9,,stable,2020-05-14T00:40:49,9.0,11,1,,0.884058,0.950427,,3,0.0516784
openml.org/t/146818,Australian,AutoGluon,9,0.933333,aws.docker,0.0.9,,stable,2020-05-14T00:41:06,9.1,11,1,,0.84058,0.933333,,8,0.423961
openml.org/t/10101,blood-transfusion,AutoGluon,1,0.870858,aws.docker,0.0.9,,stable,2020-05-14T00:41:37,9.1,11,1,,0.826667,0.870858,,4,0.0294392
openml.org/t/10101,blood-transfusion,AutoGluon,2,0.670565,aws.docker,0.0.9,,stable,2020-05-14T00:42:01,9.5,11,1,,0.72,0.670565,,4,0.0296223
openml.org/t/10101,blood-transfusion,AutoGluon,0,0.72076,aws.docker,0.0.9,,stable,2020-05-14T00:41:43,8.8,11,1,,0.773333,0.72076,,3,0.0260503
openml.org/t/10101,blood-transfusion,AutoGluon,3,0.694444,aws.docker,0.0.9,,stable,2020-05-14T00:42:10,10.0,11,1,,0.786667,0.694444,,3,0.0138755
openml.org/t/10101,blood-transfusion,AutoGluon,4,0.807992,aws.docker,0.0.9,,stable,2020-05-14T00:42:27,8.8,11,1,,0.813333,0.807992,,3,0.0258801
openml.org/t/10101,blood-transfusion,AutoGluon,5,0.70614,aws.docker,0.0.9,,stable,2020-05-14T00:42:48,8.5,11,1,,0.773333,0.70614,,4,0.122653
openml.org/t/10101,blood-transfusion,AutoGluon,6,0.757797,aws.docker,0.0.9,,stable,2020-05-14T00:42:59,8.4,11,1,,0.8,0.757797,,3,0.0257971
openml.org/t/10101,blood-transfusion,AutoGluon,7,0.737329,aws.docker,0.0.9,,stable,2020-05-14T00:43:19,8.5,11,1,,0.8,0.737329,,5,0.0324717
openml.org/t/10101,blood-transfusion,AutoGluon,8,0.756966,aws.docker,0.0.9,,stable,2020-05-14T00:43:29,8.5,11,1,,0.810811,0.756966,,4,0.0285411
