id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,models_ensemble_count,predict_duration,r2,rmse
openml.org/t/4804,mtp2,AutoGluon,0,0.138675,aws.docker,0.0.9,,stable,2020-05-16T12:06:27,32.1,9,1,,3,0.899699,0.265608,0.138675
openml.org/t/4804,mtp2,AutoGluon,1,0.153684,aws.docker,0.0.9,,stable,2020-05-16T12:06:53,34.0,9,1,,4,1.45177,0.386012,0.153684
openml.org/t/4804,mtp2,AutoGluon,2,0.20291,aws.docker,0.0.9,,stable,2020-05-16T12:06:49,38.8,9,1,,4,1.34956,0.185218,0.20291
openml.org/t/4804,mtp2,AutoGluon,3,0.122569,aws.docker,0.0.9,,stable,2020-05-16T12:06:59,33.6,9,1,,5,1.56288,0.348037,0.122569
openml.org/t/4804,mtp2,AutoGluon,4,0.176786,aws.docker,0.0.9,,stable,2020-05-16T12:07:05,29.4,9,1,,6,1.48402,0.158261,0.176786
openml.org/t/4804,mtp2,AutoGluon,5,0.152544,aws.docker,0.0.9,,stable,2020-05-16T12:07:15,31.0,9,1,,5,1.21161,0.405048,0.152544
openml.org/t/4804,mtp2,AutoGluon,6,0.138056,aws.docker,0.0.9,,stable,2020-05-16T12:07:44,30.6,9,1,,3,0.684901,0.14585,0.138056
openml.org/t/166852,Moneyball,AutoGluon,0,19.6046,aws.docker,0.0.9,,stable,2020-05-16T12:07:51,11.5,9,1,,5,0.173034,0.953453,19.6046
openml.org/t/4804,mtp2,AutoGluon,7,0.11487,aws.docker,0.0.9,,stable,2020-05-16T12:07:33,36.6,9,1,,5,1.48337,0.407849,0.11487
openml.org/t/4804,mtp2,AutoGluon,8,0.136736,aws.docker,0.0.9,,stable,2020-05-16T12:07:48,31.7,9,1,,7,2.03395,0.455854,0.136736
openml.org/t/166852,Moneyball,AutoGluon,1,23.985,aws.docker,0.0.9,,stable,2020-05-16T12:07:48,10.1,9,1,,6,0.320942,0.927573,23.985
openml.org/t/166852,Moneyball,AutoGluon,2,21.517,aws.docker,0.0.9,,stable,2020-05-16T12:07:52,10.1,9,1,,4,0.162179,0.941789,21.517
openml.org/t/4804,mtp2,AutoGluon,9,0.144531,aws.docker,0.0.9,,stable,2020-05-16T12:07:53,32.6,9,1,,5,1.2309,0.194959,0.144531
openml.org/t/166852,Moneyball,AutoGluon,3,23.7152,aws.docker,0.0.9,,stable,2020-05-16T12:08:02,11.1,9,1,,6,0.204241,0.93286,23.7152
openml.org/t/166852,Moneyball,AutoGluon,6,21.4192,aws.docker,0.0.9,,stable,2020-05-16T12:08:37,10.6,9,1,,5,0.17298,0.945494,21.4192
openml.org/t/166852,Moneyball,AutoGluon,7,22.1714,aws.docker,0.0.9,,stable,2020-05-16T12:08:48,12.2,9,1,,5,0.175733,0.942281,22.1714
openml.org/t/166852,Moneyball,AutoGluon,8,22.5616,aws.docker,0.0.9,,stable,2020-05-16T12:09:09,11.4,9,1,,5,0.176269,0.937388,22.5616
openml.org/t/166852,Moneyball,AutoGluon,5,22.4209,aws.docker,0.0.9,,stable,2020-05-16T12:08:49,10.9,9,1,,4,0.160318,0.936929,22.4209
openml.org/t/166852,Moneyball,AutoGluon,4,23.4748,aws.docker,0.0.9,,stable,2020-05-16T12:09:06,11.6,9,1,,5,0.173662,0.939856,23.4748
openml.org/t/166852,Moneyball,AutoGluon,9,21.817,aws.docker,0.0.9,,stable,2020-05-16T12:09:37,11.5,9,1,,5,0.175449,0.94448,21.817
