id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/168337,guillermo,TPOT,8,0.810617,aws.docker,0.11.1,,stable,2020-04-09T19:02:27,14567.1,173,1,,0.767,0.810617,
openml.org/t/167119,jungle_chess_2pcs_raw_endgame_complete,TPOT,9,0.189577,aws.docker,0.11.1,,stable,2020-04-09T19:02:42,14681.1,1136,1,,0.917206,,0.189577
openml.org/t/168337,guillermo,TPOT,4,0.819476,aws.docker,0.11.1,,stable,2020-04-09T19:04:16,14755.9,157,1,,0.776,0.819476,
openml.org/t/168337,guillermo,TPOT,7,0.802074,aws.docker,0.11.1,,stable,2020-04-09T19:05:44,14805.7,173,1,,0.7755,0.802074,
openml.org/t/168337,guillermo,TPOT,9,0.81287,aws.docker,0.11.1,,stable,2020-04-09T19:06:53,14838.4,173,1,,0.7635,0.81287,
openml.org/t/168337,guillermo,TPOT,3,0.799594,aws.docker,0.11.1,,stable,2020-04-09T19:08:30,15931.9,157,1,,0.7495,0.799594,
openml.org/t/3945,KDDCup09_appetency,TPOT,6,0.831354,aws.docker,0.11.1,,stable,2020-04-09T19:40:10,14474.5,473,1,,0.9822,0.831354,
openml.org/t/3945,KDDCup09_appetency,TPOT,1,0.801892,aws.docker,0.11.1,,stable,2020-04-09T19:42:49,14777.5,511,1,,0.9822,0.801892,
openml.org/t/3945,KDDCup09_appetency,TPOT,4,,aws.docker,0.11.1,,stable,2020-04-09T20:37:06,18000.0,,1,Missing predictions.,,,
openml.org/t/168335,MiniBooNE,TPOT,0,0.980893,aws.docker,0.11.1,,stable,2020-04-09T21:13:18,14884.8,513,1,,0.937111,0.980893,
openml.org/t/168335,MiniBooNE,TPOT,1,0.982687,aws.docker,0.11.1,,stable,2020-04-09T21:16:40,14670.8,481,1,,0.937034,0.982687,
openml.org/t/168335,MiniBooNE,TPOT,2,0.98347,aws.docker,0.11.1,,stable,2020-04-09T22:01:54,14571.0,509,1,,0.940417,0.98347,
openml.org/t/9977,nomao,TPOT,7,0.996318,aws.docker,0.11.1,,stable,2020-04-09T22:56:06,14674.8,741,1,,0.975334,0.996318,
openml.org/t/9977,nomao,TPOT,9,0.995424,aws.docker,0.11.1,,stable,2020-04-09T22:55:15,14626.8,760,1,,0.976494,0.995424,
openml.org/t/167120,numerai28.6,TPOT,4,0.529905,aws.docker,0.11.1,,stable,2020-04-09T22:57:15,14658.7,712,1,,0.530939,0.529905,
openml.org/t/167120,numerai28.6,TPOT,7,0.51771,aws.docker,0.11.1,,stable,2020-04-09T22:58:50,14712.4,721,1,,0.518792,0.51771,
openml.org/t/9977,nomao,TPOT,3,0.996671,aws.docker,0.11.1,,stable,2020-04-09T22:55:17,14713.8,755,1,,0.97389,0.996671,
openml.org/t/168335,MiniBooNE,TPOT,6,0.984934,aws.docker,0.11.1,,stable,2020-04-09T22:40:32,14854.0,527,1,,0.944487,0.984934,
openml.org/t/168335,MiniBooNE,TPOT,4,0.983808,aws.docker,0.11.1,,stable,2020-04-09T22:10:32,14511.6,528,1,,0.940335,0.983808,
openml.org/t/9977,nomao,TPOT,2,0.9939,aws.docker,0.11.1,,stable,2020-04-09T22:51:07,14531.3,779,1,,0.967508,0.9939,
openml.org/t/9977,nomao,TPOT,5,0.995462,aws.docker,0.11.1,,stable,2020-04-09T22:56:06,14728.4,809,1,,0.973593,0.995462,
openml.org/t/9977,nomao,TPOT,4,0.995356,aws.docker,0.11.1,,stable,2020-04-09T22:53:37,14607.0,725,1,,0.97186,0.995356,
openml.org/t/9977,nomao,TPOT,6,0.99507,aws.docker,0.11.1,,stable,2020-04-09T22:51:49,14448.8,790,1,,0.968079,0.99507,
openml.org/t/167120,numerai28.6,TPOT,8,0.521211,aws.docker,0.11.1,,stable,2020-04-09T22:55:41,14496.1,737,1,,0.522218,0.521211,
openml.org/t/9977,nomao,TPOT,8,0.99429,aws.docker,0.11.1,,stable,2020-04-09T22:52:51,14494.3,763,1,,0.971271,0.99429,
openml.org/t/167120,numerai28.6,TPOT,6,0.520111,aws.docker,0.11.1,,stable,2020-04-09T22:56:52,14601.1,764,1,,0.521076,0.520111,
openml.org/t/167120,numerai28.6,TPOT,9,0.531383,aws.docker,0.11.1,,stable,2020-04-09T22:55:05,14460.7,694,1,,0.518169,0.531383,
openml.org/t/168335,MiniBooNE,TPOT,7,0.983994,aws.docker,0.11.1,,stable,2020-04-09T22:45:21,15049.3,518,1,,0.942411,0.983994,
openml.org/t/168335,MiniBooNE,TPOT,5,0.982256,aws.docker,0.11.1,,stable,2020-04-09T22:22:05,14623.2,503,1,,0.940412,0.982256,
openml.org/t/168335,MiniBooNE,TPOT,9,0.984982,aws.docker,0.11.1,,stable,2020-04-09T22:50:39,14897.3,485,1,,0.943795,0.984982,
openml.org/t/9977,nomao,TPOT,1,0.995861,aws.docker,0.11.1,,stable,2020-04-09T22:54:46,14739.6,730,1,,0.969539,0.995861,
openml.org/t/167120,numerai28.6,TPOT,5,0.518708,aws.docker,0.11.1,,stable,2020-04-09T22:57:15,14620.2,843,1,,0.519726,0.518708,
openml.org/t/167120,numerai28.6,TPOT,3,0.518758,aws.docker,0.11.1,,stable,2020-04-09T22:54:28,14511.1,683,1,,0.519726,0.518758,
openml.org/t/167120,numerai28.6,TPOT,2,0.518278,aws.docker,0.11.1,,stable,2020-04-09T22:55:03,14564.4,730,1,,0.519311,0.518278,
openml.org/t/167120,numerai28.6,TPOT,1,0.527326,aws.docker,0.11.1,,stable,2020-04-09T22:53:23,14466.6,661,1,,0.520349,0.527326,
openml.org/t/168335,MiniBooNE,TPOT,8,0.983426,aws.docker,0.11.1,,stable,2020-04-09T22:38:41,14598.3,517,1,,0.941027,0.983426,
openml.org/t/9977,nomao,TPOT,0,0.99585,aws.docker,0.11.1,,stable,2020-04-09T22:53:57,14789.8,756,1,,0.97244,0.99585,
openml.org/t/167120,numerai28.6,TPOT,0,0.525964,aws.docker,0.11.1,,stable,2020-04-09T22:56:05,14653.0,699,1,,0.518065,0.525964,
openml.org/t/168335,MiniBooNE,TPOT,3,0.983479,aws.docker,0.11.1,,stable,2020-04-09T22:22:57,15835.1,499,1,,0.942416,0.983479,
openml.org/t/146212,Shuttle,TPOT,0,0.000878714,aws.docker,0.11.1,,stable,2020-04-09T23:09:44,14669.8,1063,1,,0.999828,,0.000878714
openml.org/t/146212,Shuttle,TPOT,2,0.000140707,aws.docker,0.11.1,,stable,2020-04-09T23:09:59,14602.3,1197,1,,1.0,,0.000140707
openml.org/t/146212,Shuttle,TPOT,1,0.000397243,aws.docker,0.11.1,,stable,2020-04-09T23:10:30,14641.6,1087,1,,0.999828,,0.000397243
openml.org/t/146212,Shuttle,TPOT,4,0.000182247,aws.docker,0.11.1,,stable,2020-04-09T23:10:38,14469.5,1063,1,,1.0,,0.000182247
openml.org/t/146212,Shuttle,TPOT,3,0.000863109,aws.docker,0.11.1,,stable,2020-04-09T23:12:18,14634.9,1116,1,,0.999828,,0.000863109
openml.org/t/146212,Shuttle,TPOT,5,0.000379399,aws.docker,0.11.1,,stable,2020-04-09T23:12:22,14474.0,1089,1,,0.999828,,0.000379399
openml.org/t/146212,Shuttle,TPOT,6,0.000343062,aws.docker,0.11.1,,stable,2020-04-09T23:12:45,14418.8,1118,1,,0.999828,,0.000343062
openml.org/t/168338,riccardo,TPOT,4,0.992667,aws.docker,0.11.1,,stable,2020-04-09T23:14:50,14545.8,181,1,,0.989,0.992667,
openml.org/t/168338,riccardo,TPOT,0,0.991,aws.docker,0.11.1,,stable,2020-04-09T23:15:03,14642.0,173,1,,0.9865,0.991,
openml.org/t/168338,riccardo,TPOT,2,0.991,aws.docker,0.11.1,,stable,2020-04-09T23:15:58,14645.6,173,1,,0.9865,0.991,
openml.org/t/168338,riccardo,TPOT,1,0.991333,aws.docker,0.11.1,,stable,2020-04-09T23:16:12,14675.9,197,1,,0.987,0.991333,
openml.org/t/168338,riccardo,TPOT,8,0.991667,aws.docker,0.11.1,,stable,2020-04-09T23:16:29,14579.2,181,1,,0.9875,0.991667,
openml.org/t/168338,riccardo,TPOT,5,0.990667,aws.docker,0.11.1,,stable,2020-04-09T23:17:53,14620.6,173,1,,0.986,0.990667,
openml.org/t/168338,riccardo,TPOT,6,0.993667,aws.docker,0.11.1,,stable,2020-04-09T23:18:16,14752.4,181,1,,0.9905,0.993667,
openml.org/t/168338,riccardo,TPOT,9,0.987,aws.docker,0.11.1,,stable,2020-04-09T23:18:24,14698.5,173,1,,0.9805,0.987,
openml.org/t/168332,Robert,TPOT,2,1.74306,aws.docker,0.11.1,,stable,2020-04-09T23:18:32,14583.3,122,1,,0.432,,1.74306
openml.org/t/168332,Robert,TPOT,4,1.72888,aws.docker,0.11.1,,stable,2020-04-09T23:20:27,14669.1,122,1,,0.453,,1.72888
openml.org/t/168332,Robert,TPOT,3,1.73141,aws.docker,0.11.1,,stable,2020-04-09T23:21:57,14787.0,321,1,,0.437,,1.73141
openml.org/t/168332,Robert,TPOT,7,1.74088,aws.docker,0.11.1,,stable,2020-04-09T23:22:33,14683.8,122,1,,0.457,,1.74088
openml.org/t/168332,Robert,TPOT,0,1.74198,aws.docker,0.11.1,,stable,2020-04-09T23:23:11,14921.2,122,1,,0.445,,1.74198
openml.org/t/168338,riccardo,TPOT,3,0.993333,aws.docker,0.11.1,,stable,2020-04-09T23:24:28,15122.0,181,1,,0.99,0.993333,
openml.org/t/168332,Robert,TPOT,6,1.7032,aws.docker,0.11.1,,stable,2020-04-09T23:26:18,14978.4,138,1,,0.456,,1.7032
openml.org/t/168332,Robert,TPOT,1,1.76016,aws.docker,0.11.1,,stable,2020-04-09T23:26:37,15067.9,138,1,,0.426,,1.76016
openml.org/t/168332,Robert,TPOT,8,1.75131,aws.docker,0.11.1,,stable,2020-04-09T23:28:31,14748.4,138,1,,0.431,,1.75131
openml.org/t/168332,Robert,TPOT,5,1.74447,aws.docker,0.11.1,,stable,2020-04-09T23:28:34,15133.2,122,1,,0.465,,1.74447
openml.org/t/168332,Robert,TPOT,9,1.75373,aws.docker,0.11.1,,stable,2020-04-09T23:29:04,14754.6,122,1,,0.428,,1.75373
openml.org/t/168338,riccardo,TPOT,7,0.989,aws.docker,0.11.1,,stable,2020-04-09T23:29:47,15382.5,181,1,,0.9835,0.989,
openml.org/t/146212,Shuttle,TPOT,7,0.00025938,aws.docker,0.11.1,,stable,2020-04-09T23:44:51,14448.4,1087,1,,1.0,,0.00025938
openml.org/t/146212,Shuttle,TPOT,8,0.000807263,aws.docker,0.11.1,,stable,2020-04-09T23:48:07,14471.4,1119,1,,0.999655,,0.000807263
openml.org/t/146212,Shuttle,TPOT,9,0.000118876,aws.docker,0.11.1,,stable,2020-04-10T00:41:57,14437.4,1221,1,,1.0,,0.000118876
openml.org/t/168331,Volkert,TPOT,1,0.951571,aws.docker,0.11.1,,stable,2020-04-10T01:27:54,14818.9,535,1,,0.678614,,0.951571
openml.org/t/168331,Volkert,TPOT,0,0.959825,aws.docker,0.11.1,,stable,2020-04-10T01:29:25,15054.1,517,1,,0.671068,,0.959825
openml.org/t/168331,Volkert,TPOT,2,0.94584,aws.docker,0.11.1,,stable,2020-04-10T02:12:13,14711.7,519,1,,0.680158,,0.94584
openml.org/t/168331,Volkert,TPOT,6,0.960157,aws.docker,0.11.1,,stable,2020-04-10T03:09:05,14592.3,540,1,,0.677757,,0.960157
openml.org/t/168331,Volkert,TPOT,8,0.952322,aws.docker,0.11.1,,stable,2020-04-10T03:10:06,14623.3,558,1,,0.673641,,0.952322
openml.org/t/168331,Volkert,TPOT,9,0.961395,aws.docker,0.11.1,,stable,2020-04-10T03:11:56,14760.7,558,1,,0.680158,,0.961395
openml.org/t/168331,Volkert,TPOT,5,0.960225,aws.docker,0.11.1,,stable,2020-04-10T03:12:27,14797.1,518,1,,0.685817,,0.960225
openml.org/t/168331,Volkert,TPOT,4,0.949627,aws.docker,0.11.1,,stable,2020-04-10T03:12:26,14780.4,501,1,,0.694735,,0.949627
openml.org/t/168331,Volkert,TPOT,3,0.969062,aws.docker,0.11.1,,stable,2020-04-10T03:14:06,14851.7,563,1,,0.683416,,0.969062
openml.org/t/168331,Volkert,TPOT,7,0.942781,aws.docker,0.11.1,,stable,2020-04-10T03:15:45,14971.6,556,1,,0.68273,,0.942781
