id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss,models_ensemble_count,predict_duration
openml.org/t/168338,riccardo,AutoGluon,8,0.999851,aws.docker,0.0.9,,stable,2020-05-14T04:10:16,1472.6,11,1,,0.9985,0.999851,,3,3.05557
openml.org/t/168338,riccardo,AutoGluon,4,0.999612,aws.docker,0.0.9,,stable,2020-05-14T04:11:20,1563.5,11,1,,0.9975,0.999612,,5,5.08646
openml.org/t/168332,Robert,AutoGluon,0,1.31393,aws.docker,0.0.9,,stable,2020-05-14T04:48:27,3663.2,10,1,,0.533,,1.31393,5,31.9492
openml.org/t/168332,Robert,AutoGluon,3,1.34167,aws.docker,0.0.9,,stable,2020-05-14T04:48:17,3661.0,10,1,,0.536,,1.34167,5,31.2639
openml.org/t/168332,Robert,AutoGluon,1,1.3354,aws.docker,0.0.9,,stable,2020-05-14T04:48:41,3663.2,10,1,,0.534,,1.3354,5,32.5937
openml.org/t/168332,Robert,AutoGluon,2,1.35078,aws.docker,0.0.9,,stable,2020-05-14T04:49:18,3665.1,10,1,,0.529,,1.35078,5,32.5433
openml.org/t/168332,Robert,AutoGluon,8,1.3159,aws.docker,0.0.9,,stable,2020-05-14T04:49:35,3662.2,10,1,,0.543,,1.3159,5,32.1815
openml.org/t/168332,Robert,AutoGluon,7,1.30747,aws.docker,0.0.9,,stable,2020-05-14T04:50:05,3663.3,10,1,,0.541,,1.30747,5,31.7524
openml.org/t/168332,Robert,AutoGluon,6,1.28695,aws.docker,0.0.9,,stable,2020-05-14T04:50:01,3664.1,10,1,,0.542,,1.28695,5,32.129
openml.org/t/168332,Robert,AutoGluon,4,1.312,aws.docker,0.0.9,,stable,2020-05-14T04:50:28,3663.1,10,1,,0.531,,1.312,5,32.176
openml.org/t/168332,Robert,AutoGluon,5,1.32835,aws.docker,0.0.9,,stable,2020-05-14T04:50:23,3663.9,10,1,,0.534,,1.32835,5,31.9802
openml.org/t/168332,Robert,AutoGluon,9,1.32484,aws.docker,0.0.9,,stable,2020-05-14T04:51:15,3691.2,11,1,,0.522,,1.32484,5,32.4052
